Nome,Descrição,Latitude,Longitude,Categoria
Tokyo Station,Chegada 14:52 - Hakutaka 562 de Nagano,35.681382,139.767125,Transporte
Shibuya Station,JR Yamanote Line | Acesso: Shibuya Crossing Meiji Jingu Harajuku,35.658056,139.701389,Estação
Asakusa Station,Ginza Line Asakusa Line | Acesso: Senso-ji Temple,35.710833,139.798333,Estação
Akihabara Station,JR Yamanote Line Hibiya Line | Acesso: área anime/eletrônicos,35.698611,139.773333,Estação
Odaiba-Kaihinkoen Station,Yurikamome Line | Acesso: teamLab Planets DiverCity,35.628333,139.774444,Estação
